specimen_no,record_type,flags,occurrence_no,reid_no,collection_no,specimen_id,is_type,specimen_side,specimen_part,specimen_sex,n_measured,measurement_source,magnification,comments,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,max_ma,min_ma,reference_no
18654,spm,,498881,0,,AMNH 3041,holotype,,femur,,1,table,,,n. gen. Microvenator n. sp. celer,species,65860,,Microvenator celer,species,65860,113,100.5,34423
18655,spm,,498881,0,,AMNH 3041,holotype,,tibia,,1,table,,,n. gen. Microvenator n. sp. celer,species,65860,,Microvenator celer,species,65860,113,100.5,34423
18665,spm,,520508,15740,,A.N.S.P. 15202,,,femur,,1,table,,width is mid-shaft breadth,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,72.1,66,9209
18666,spm,,486505,0,,A.N.S.P. 10005,holotype,,femur,,1,table,,width is mid-shaft breadth,n. gen. Hadrosaurus n. sp. foulkii,species,52812,,Hadrosaurus foulkii,species,52812,83.5,70.6,9209
18667,spm,,255376,12320,,A.M.N.H. 5730,holotype,,femur,,1,table,,width is mid-shaft breadth,Anatosaurus n. sp. copei,species,53383,recombined as,Anatotitan copei,species,53383,72.1,66,9209
18668,spm,,486010,0,,Geol. Survey Canada no. 8537,holotype,,humerus,,1,table,,width is least diameter,Thescelosaurus n. sp. edmontonensis,species,64745,,Thescelosaurus edmontonensis,species,64745,70.6,66,18598
18669,spm,,486010,0,,Geol. Survey Canada no. 8537,holotype,,femur,,1,table,,width is least diameter,Thescelosaurus n. sp. edmontonensis,species,64745,,Thescelosaurus edmontonensis,species,64745,70.6,66,18598
18670,spm,,486010,0,,Geol. Survey Canada no. 8537,holotype,,tibia,,1,table,,width is least diameter,Thescelosaurus n. sp. edmontonensis,species,64745,,Thescelosaurus edmontonensis,species,64745,70.6,66,18598
18671,spm,,486010,0,,Geol. Survey Canada no. 8537,holotype,,fibula,,1,table,,diameter not stated,Thescelosaurus n. sp. edmontonensis,species,64745,,Thescelosaurus edmontonensis,species,64745,70.6,66,18598
18672,spm,,260042,0,,M.U.O. 8-9-S9,holotype,,femur,,1,table,,no diameter stated,n. gen. Acrocanthosaurus n. sp. atokensis,species,55482,,Acrocanthosaurus atokensis,species,55482,125,113,7059
18673,spm,,260042,0,,M.U.O. 8-9-S9,holotype,,tibia,,1,table,,width is least antero-posterior diameter (transverse diameter is greater),n. gen. Acrocanthosaurus n. sp. atokensis,species,55482,,Acrocanthosaurus atokensis,species,55482,125,113,7059
18674,spm,,260042,0,,M.U.O. 8-9-S9,holotype,,fibula,,1,table,,"with is ""of shaft and [sic] midlength""",n. gen. Acrocanthosaurus n. sp. atokensis,species,55482,,Acrocanthosaurus atokensis,species,55482,125,113,7059
18675,spm,,475161,30612,,HMN SII,holotype,,femur,,1,table,,"specimen number not given, inferred from data of Paul 1988\r\n2090 mm according to Paul 1988\r\ncircumference based on Paul 1988",Brachiosaurus n. sp. brancai,species,64501,recombined as,Giraffatitan brancai,species,64501,155.7,145,34472
18676,spm,,475161,30612,,HMN SII,holotype,,tibia,,1,table,,"specimen number not given, inferred from data of Paul 1988\r\n1150 mm according to Paul 1988",Brachiosaurus n. sp. brancai,species,64501,recombined as,Giraffatitan brancai,species,64501,155.7,145,34472
18677,spm,,475161,30612,,HMN SII,holotype,,humerus,,1,table,,"specimen number not given, inferred from data of Paul 1988\r\n2130 mm according to Paul 1988",Brachiosaurus n. sp. brancai,species,64501,recombined as,Giraffatitan brancai,species,64501,155.7,145,34472
18678,spm,,475161,30612,,HMN SII,holotype,,radius,,1,table,,"specimen number not given, inferred from data of Paul 1988\r\n1240 mm according to Paul 1988",Brachiosaurus n. sp. brancai,species,64501,recombined as,Giraffatitan brancai,species,64501,155.7,145,34472
18679,spm,,475161,30612,,HMN SII,holotype,,ulna,,1,table,,"specimen number not given, inferred from data of Paul 1988\r\nnot measured by Paul 1988",Brachiosaurus n. sp. brancai,species,64501,recombined as,Giraffatitan brancai,species,64501,155.7,145,34472
18680,spm,,475161,30612,,HMN SII,holotype,,pubis,,1,table,,"specimen number not given, inferred from data of Paul 1988\r\n1150 mm according to Paul 1988",Brachiosaurus n. sp. brancai,species,64501,recombined as,Giraffatitan brancai,species,64501,155.7,145,34472
18681,spm,,475161,30612,,HMN SII,holotype,,scapula,,1,table,,"specimen number not given, inferred from data of Paul 1988\r\n1929 mm according to Paul 1988",Brachiosaurus n. sp. brancai,species,64501,recombined as,Giraffatitan brancai,species,64501,155.7,145,34472
18682,spm,,508088,0,,,holotype,,femur,,1,table,,"additional ""measurements"" are given for tibia, humerus, radius, ulna, pubis, and scapula, but these are ""increased from"" other specimens that may include A. wichmannianus and definitely include A. septentrionalis\r\nfigure of 2310 mm repeated by Paul 1988, who also gives circumference and lists the specimen as MP A2300",Antarctosaurus n. sp. giganteus,species,66265,,Antarctosaurus giganteus,species,66265,89.3,83.5,34472
18690,spm,,474524,0,,,,,femur,,1,table,,based on specimens described by Gilmore (1936),Apatosaurus n. sp. louisae,species,57752,,Apatosaurus louisae,species,57752,150.8,145,34472
18691,spm,,474524,0,,,,,tibia,,1,table,,based on specimens described by Gilmore (1936),Apatosaurus n. sp. louisae,species,57752,,Apatosaurus louisae,species,57752,150.8,145,34472
18692,spm,,474524,0,,,,,humerus,,1,table,,based on specimens described by Gilmore (1936),Apatosaurus n. sp. louisae,species,57752,,Apatosaurus louisae,species,57752,150.8,145,34472
18693,spm,,474524,0,,,,,radius,,1,table,,based on specimens described by Gilmore (1936),Apatosaurus n. sp. louisae,species,57752,,Apatosaurus louisae,species,57752,150.8,145,34472
18694,spm,,474524,0,,,,,ulna,,1,table,,based on specimens described by Gilmore (1936),Apatosaurus n. sp. louisae,species,57752,,Apatosaurus louisae,species,57752,150.8,145,34472
18695,spm,,474524,0,,,,,pubis,,1,table,,based on specimens described by Gilmore (1936),Apatosaurus n. sp. louisae,species,57752,,Apatosaurus louisae,species,57752,150.8,145,34472
18696,spm,,474524,0,,,,,scapula,,1,table,,based on specimens described by Gilmore (1936),Apatosaurus n. sp. louisae,species,57752,,Apatosaurus louisae,species,57752,150.8,145,34472
18697,spm,,486009,0,,USNM 7757,holotype,,ulna,,1,table,,see also Galton 1974,n. gen. Thescelosaurus n. sp. neglectus,species,52897,,Thescelosaurus neglectus,species,52897,70.6,66,12059
18698,spm,,486009,0,,USNM 7757,holotype,,radius,,1,table,,see also Galton 1974,n. gen. Thescelosaurus n. sp. neglectus,species,52897,,Thescelosaurus neglectus,species,52897,70.6,66,12059
18699,spm,,486009,0,,USNM 7757,holotype,,femur,,1,table,,see also Galton 1974; said to be 335 by Horner and Weishampel 1988,n. gen. Thescelosaurus n. sp. neglectus,species,52897,,Thescelosaurus neglectus,species,52897,70.6,66,12059
18700,spm,,486009,0,,USNM 7757,holotype,,tibia,,1,table,,see also Galton 1974,n. gen. Thescelosaurus n. sp. neglectus,species,52897,,Thescelosaurus neglectus,species,52897,70.6,66,12059
18701,spm,,486009,0,,USNM 7757,holotype,,fibula,,1,table,,see also Galton 1974,n. gen. Thescelosaurus n. sp. neglectus,species,52897,,Thescelosaurus neglectus,species,52897,70.6,66,12059
18702,spm,,529358,30775,,AMNH 5031,,,humerus,,1,table,,215 by 22 according to Gilmore 1915,Thescelosaurus neglectus,species,52897,,Thescelosaurus neglectus,species,52897,72.1,66,12623
18703,spm,,529358,30775,,AMNH 5031,,,tibia,,1,table,,no minimum width,Thescelosaurus neglectus,species,52897,,Thescelosaurus neglectus,species,52897,72.1,66,12623
18704,spm,,529357,30776,,AMNH 5034,,,humerus,,1,table,,,Thescelosaurus neglectus,species,52897,,Thescelosaurus neglectus,species,52897,70.6,66,12623
18705,spm,,529357,30776,,AMNH 5034,,,ulna,,1,table,,no minimum width,Thescelosaurus neglectus,species,52897,,Thescelosaurus neglectus,species,52897,70.6,66,12623
18706,spm,,529357,30776,,AMNH 5034,,,radius,,1,table,,,Thescelosaurus neglectus,species,52897,,Thescelosaurus neglectus,species,52897,70.6,66,12623
18707,spm,,485997,0,,ROM 804,holotype,,humerus,,1,table,,minimum width (156) appears to be in error,Thescelosaurus n. sp. warreni,species,52895,recombined as,Parksosaurus warreni,species,52895,70.6,66,12623
18708,spm,,485997,0,,ROM 804,holotype,,ulna,,1,table,,"no minimum width and length stated as ""47"" (I assume the 1 was left out)",Thescelosaurus n. sp. warreni,species,52895,recombined as,Parksosaurus warreni,species,52895,70.6,66,12623
18709,spm,,485997,0,,ROM 804,holotype,,radius,,1,table,,no minimum width and length placed in quotes,Thescelosaurus n. sp. warreni,species,52895,recombined as,Parksosaurus warreni,species,52895,70.6,66,12623
18710,spm,,485997,0,,ROM 804,holotype,,femur,,1,table,,no minimum width,Thescelosaurus n. sp. warreni,species,52895,recombined as,Parksosaurus warreni,species,52895,70.6,66,12623
18711,spm,,485997,0,,ROM 804,holotype,,tibia,,1,table,,no minimum width; said to be 300 mm by Horner and Weishampel 1988,Thescelosaurus n. sp. warreni,species,52895,recombined as,Parksosaurus warreni,species,52895,70.6,66,12623
18712,spm,,485997,0,,ROM 804,holotype,,fibula,,1,table,,,Thescelosaurus n. sp. warreni,species,52895,recombined as,Parksosaurus warreni,species,52895,70.6,66,12623
18713,spm,,280868,0,,BMNH R196,,,humerus,,1,table,,,Iguanodon sp.,genus,38749,,Iguanodon,genus,38749,136.4,122.46,12623
18714,spm,,280868,0,,BMNH R196,,,ulna,,1,table,,,Iguanodon sp.,genus,38749,,Iguanodon,genus,38749,136.4,122.46,12623
18715,spm,,280868,0,,BMNH R196,,,radius,,1,table,,,Iguanodon sp.,genus,38749,,Iguanodon,genus,38749,136.4,122.46,12623
18716,spm,,280868,0,,BMNH R196,,,femur,,1,table,,no minimum width,Iguanodon sp.,genus,38749,,Iguanodon,genus,38749,136.4,122.46,12623
18717,spm,,280868,0,,BMNH R196,,,tibia,,1,table,,no minimum width; length placed in quotes,Iguanodon sp.,genus,38749,,Iguanodon,genus,38749,136.4,122.46,12623
18718,spm,,367440,0,,PU 18133,,,femur,,1,table,,,Leptoceratops gracilis,species,52827,,Leptoceratops gracilis,species,52827,72.1,66,9234
18719,spm,,367440,0,,PU 18133,,,tibia,,1,table,,,Leptoceratops gracilis,species,52827,,Leptoceratops gracilis,species,52827,72.1,66,9234
18720,spm,,604289,0,,NMC 8887,,,femur,,1,table,,,Leptoceratops gracilis,species,52827,,Leptoceratops gracilis,species,52827,72.1,66,9234
18721,spm,,604289,0,,NMC 8887,,,tibia,,1,table,,,Leptoceratops gracilis,species,52827,,Leptoceratops gracilis,species,52827,72.1,66,9234
18722,spm,,604289,0,,NMC 8887,,,fibula,,1,table,,,Leptoceratops gracilis,species,52827,,Leptoceratops gracilis,species,52827,72.1,66,9234
18723,spm,,604289,0,,NMC 8888,,,femur,,1,table,,,Leptoceratops gracilis,species,52827,,Leptoceratops gracilis,species,52827,72.1,66,9234
18724,spm,,604289,0,,NMC 8888,,,tibia,,1,table,,,Leptoceratops gracilis,species,52827,,Leptoceratops gracilis,species,52827,72.1,66,9234
18725,spm,,604289,0,,NMC 8888,,,fibula,,1,table,,,Leptoceratops gracilis,species,52827,,Leptoceratops gracilis,species,52827,72.1,66,9234
18726,spm,,604289,0,,NMC 8889,,,femur,,1,table,,,Leptoceratops gracilis,species,52827,,Leptoceratops gracilis,species,52827,72.1,66,9234
18727,spm,,604289,0,,NMC 8889,,,tibia,,1,table,,,Leptoceratops gracilis,species,52827,,Leptoceratops gracilis,species,52827,72.1,66,9234
18728,spm,,604289,0,,NMC 8889,,,fibula,,1,table,,,Leptoceratops gracilis,species,52827,,Leptoceratops gracilis,species,52827,72.1,66,9234
18729,spm,,534238,33694,,Amer. Mus. No. 5464,holotype,,femur,,1,table,,,Leptoceratops n. sp. cerorhynchus,species,52829,recombined as,Montanoceratops cerorhynchus,species,52829,70.6,66,14769
18730,spm,,534238,33694,,Amer. Mus. No. 5464,holotype,,tibia,,1,table,,,Leptoceratops n. sp. cerorhynchus,species,52829,recombined as,Montanoceratops cerorhynchus,species,52829,70.6,66,14769
18731,spm,,534238,33694,,Amer. Mus. No. 5464,holotype,,fibula,,1,table,,,Leptoceratops n. sp. cerorhynchus,species,52829,recombined as,Montanoceratops cerorhynchus,species,52829,70.6,66,14769
18732,spm,,604789,0,,AMNH 5272,,,ulna,,1,table,,,Hypacrosaurus altispinus,species,56406,,Hypacrosaurus altispinus,species,56406,83.5,66,9647
18733,spm,,604789,0,,AMNH 5272,,,femur,,1,table,,,Hypacrosaurus altispinus,species,56406,,Hypacrosaurus altispinus,species,56406,83.5,66,9647
18734,spm,,604789,0,,AMNH 5272,,,tibia,,1,table,,,Hypacrosaurus altispinus,species,56406,,Hypacrosaurus altispinus,species,56406,83.5,66,9647
18735,spm,,604789,0,,AMNH 5272,,,fibula,,1,table,,this is the measure of Metatarsal III,Hypacrosaurus altispinus,species,56406,,Hypacrosaurus altispinus,species,56406,83.5,66,9647
18736,spm,,535202,13698,,USNM 7948 ,,,ulna,,1,table,,,Lambeosaurinae indet.,subfamily,53394,,Lambeosaurinae,subfamily,53394,83.6,72.1,14881
18737,spm,,535202,13698,,USNM 7948 ,,,femur,,1,table,,,Lambeosaurinae indet.,subfamily,53394,,Lambeosaurinae,subfamily,53394,83.6,72.1,14881
18738,spm,,535202,13698,,USNM 7948 ,,,tibia,,1,table,,,Lambeosaurinae indet.,subfamily,53394,,Lambeosaurinae,subfamily,53394,83.6,72.1,14881
18739,spm,,535202,13698,,USNM 7948 ,,,fibula,,1,table,,,Lambeosaurinae indet.,subfamily,53394,,Lambeosaurinae,subfamily,53394,83.6,72.1,14881
18740,spm,,408082,0,,USNM 4934,holotype,right,scapula,,1,table,,,Stegosaurus n. sp. stenops,species,56491,,Stegosaurus stenops,species,56491,157.3,145,12769
18741,spm,,408082,0,,USNM 4934,holotype,both,humerus,,1,table,,mean of left and right,Stegosaurus n. sp. stenops,species,56491,,Stegosaurus stenops,species,56491,157.3,145,12769
18742,spm,,408082,0,,USNM 4934,holotype,right,ulna,,1,table,,,Stegosaurus n. sp. stenops,species,56491,,Stegosaurus stenops,species,56491,157.3,145,12769
18743,spm,,408082,0,,USNM 4934,holotype,right,radius,,1,table,,,Stegosaurus n. sp. stenops,species,56491,,Stegosaurus stenops,species,56491,157.3,145,12769
18744,spm,,408082,0,,USNM 4934,holotype,right,femur,,1,table,,,Stegosaurus n. sp. stenops,species,56491,,Stegosaurus stenops,species,56491,157.3,145,12769
18745,spm,,408082,0,,USNM 4934,holotype,right,tibia,,1,table,,,Stegosaurus n. sp. stenops,species,56491,,Stegosaurus stenops,species,56491,157.3,145,12769
18746,spm,,408082,0,,USNM 4934,holotype,right,fibula,,1,table,,,Stegosaurus n. sp. stenops,species,56491,,Stegosaurus stenops,species,56491,157.3,145,12769
18747,spm,,408082,0,,USNM 4929,,left,scapula,,1,table,,,Stegosaurus n. sp. stenops,species,56491,,Stegosaurus stenops,species,56491,157.3,145,12769
18748,spm,,408082,0,,USNM 4929,,both,humerus,,1,table,,mean of left and right,Stegosaurus n. sp. stenops,species,56491,,Stegosaurus stenops,species,56491,157.3,145,12769
18749,spm,,650180,32681,,MNA Pl.1762,,,tibia,,1,table,,,Ornithomimus sp.,genus,38544,,Ornithomimus,genus,38544,83.5,70.6,23593
18750,spm,,248075,19747,,ANSP 15800,holotype,,scapula,,1,table,,,n. gen. Avaceratops n. sp. lammersi,species,55539,,Avaceratops lammersi,species,55539,83.5,70.6,25472
18751,spm,,248075,19747,,ANSP 15800,holotype,,coracoid,,1,table,,,n. gen. Avaceratops n. sp. lammersi,species,55539,,Avaceratops lammersi,species,55539,83.5,70.6,25472
18752,spm,,248075,19747,,ANSP 15800,holotype,,humerus,,1,table,,,n. gen. Avaceratops n. sp. lammersi,species,55539,,Avaceratops lammersi,species,55539,83.5,70.6,25472
18753,spm,,248075,19747,,ANSP 15800,holotype,,ulna,,1,table,,,n. gen. Avaceratops n. sp. lammersi,species,55539,,Avaceratops lammersi,species,55539,83.5,70.6,25472
18754,spm,,248075,19747,,ANSP 15800,holotype,,radius,,1,table,,,n. gen. Avaceratops n. sp. lammersi,species,55539,,Avaceratops lammersi,species,55539,83.5,70.6,25472
18755,spm,,248075,19747,,ANSP 15800,holotype,,femur,,1,table,,,n. gen. Avaceratops n. sp. lammersi,species,55539,,Avaceratops lammersi,species,55539,83.5,70.6,25472
18756,spm,,248075,19747,,ANSP 15800,holotype,,tibia,,1,table,,,n. gen. Avaceratops n. sp. lammersi,species,55539,,Avaceratops lammersi,species,55539,83.5,70.6,25472
18757,spm,,496308,0,,USNM 7950,,,ulna,,1,table,,,n. gen. Brachyceratops n. sp. montanensis,species,63895,nomen dubium,Centrosaurinae,subfamily,53953,83.6,72.1,25472
18758,spm,,496308,0,,USNM 7950,,,femur,,1,table,,,n. gen. Brachyceratops n. sp. montanensis,species,63895,nomen dubium,Centrosaurinae,subfamily,53953,83.6,72.1,25472
18759,spm,,496308,0,,USNM 7950,,,tibia,,1,table,,,n. gen. Brachyceratops n. sp. montanensis,species,63895,nomen dubium,Centrosaurinae,subfamily,53953,83.6,72.1,25472
18760,spm,,229342,0,,,,,humerus,,8,table,,,Chasmosaurus mariscalensis,species,52772,recombined as,Agujaceratops mariscalensis,species,52772,83.5,70.6,14107
18761,spm,,229342,0,,,,,ulna,,1,table,,minimum width is a mean for three specimens,Chasmosaurus mariscalensis,species,52772,recombined as,Agujaceratops mariscalensis,species,52772,83.5,70.6,14107
18762,spm,,229342,0,,,,,radius,,3,table,,,Chasmosaurus mariscalensis,species,52772,recombined as,Agujaceratops mariscalensis,species,52772,83.5,70.6,14107
18763,spm,,229342,0,,,,,femur,,11,table,,width is a mean for 17 specimens,Chasmosaurus mariscalensis,species,52772,recombined as,Agujaceratops mariscalensis,species,52772,83.5,70.6,14107
18764,spm,,229342,0,,,,,tibia,,9,table,,width is a mean for 14 specimens,Chasmosaurus mariscalensis,species,52772,recombined as,Agujaceratops mariscalensis,species,52772,83.5,70.6,14107
18765,spm,,229342,0,,,,,fibula,,1,table,,width is a mean for three specimens,Chasmosaurus mariscalensis,species,52772,recombined as,Agujaceratops mariscalensis,species,52772,83.5,70.6,14107
18766,spm,,144307,22890,,OMNH 10131,,left,femur,,1,text,,length is estimated,Bistahieversor sealeyi,species,163808,,Bistahieversor sealeyi,species,163808,83.5,70.6,4247
18767,spm,,487439,12435,,AMNH 21795,,,humerus,,1,table,,,Ornithomimus n. sp. asiaticus,species,57275,recombined as,Archaeornithomimus asiaticus,species,57275,83.5,70.6,14108
18768,spm,,487439,12435,,AMNH 21796,,,radius,,1,table,,,Ornithomimus n. sp. asiaticus,species,57275,recombined as,Archaeornithomimus asiaticus,species,57275,83.5,70.6,14108
18769,spm,,487439,12435,,AMNH 21796,,,ulna,,1,table,,,Ornithomimus n. sp. asiaticus,species,57275,recombined as,Archaeornithomimus asiaticus,species,57275,83.5,70.6,14108
18770,spm,,487439,12435,,AMNH 21796,,,humerus,,1,table,,,Ornithomimus n. sp. asiaticus,species,57275,recombined as,Archaeornithomimus asiaticus,species,57275,83.5,70.6,14108
18771,spm,,487439,12435,,AMNH 6569,holotype,,radius,,1,table,,,Ornithomimus n. sp. asiaticus,species,57275,recombined as,Archaeornithomimus asiaticus,species,57275,83.5,70.6,14108
18772,spm,,487439,12435,,AMNH 6569,holotype,,ulna,,1,table,,,Ornithomimus n. sp. asiaticus,species,57275,recombined as,Archaeornithomimus asiaticus,species,57275,83.5,70.6,14108
18773,spm,,487439,12435,,AMNH 21795,,,scapula,,1,table,,,Ornithomimus n. sp. asiaticus,species,57275,recombined as,Archaeornithomimus asiaticus,species,57275,83.5,70.6,14108
18774,spm,,487439,12435,,AMNH 21795,,,coracoid,,1,table,,,Ornithomimus n. sp. asiaticus,species,57275,recombined as,Archaeornithomimus asiaticus,species,57275,83.5,70.6,14108
18775,spm,,277109,0,,PVL 2577,holotype,right,tibia,,1,table,,,n. gen. Pisanosaurus n. sp. mertii,species,64409,,Pisanosaurus mertii,species,64409,237,228,10109
18776,spm,,277109,0,,PVL 2577,holotype,right,fibula,,1,table,,,n. gen. Pisanosaurus n. sp. mertii,species,64409,,Pisanosaurus mertii,species,64409,237,228,10109
18781,spm,,220099,0,,MOR 553-7.24.8.64,,,tibia,,1,text,,,Troodon formosus,species,54818,,Troodon formosus,species,54818,85.8,70.6,13758
18782,spm,,829028,0,,UC OBA 1,holotype,,humerus,,1,table,,,n. gen. Afrovenator n. sp. abakensis,species,56399,,Afrovenator abakensis,species,56399,174.1,145,13778
18783,spm,,829028,0,,UC OBA 1,holotype,,femur,,1,table,,,n. gen. Afrovenator n. sp. abakensis,species,56399,,Afrovenator abakensis,species,56399,174.1,145,13778
18784,spm,,829028,0,,UC OBA 1,holotype,,tibia,,1,table,,,n. gen. Afrovenator n. sp. abakensis,species,56399,,Afrovenator abakensis,species,56399,174.1,145,13778
18785,spm,,408087,0,,USNM 4734,,,humerus,,1,table,,width is least diameter of shaft,n. gen. Allosaurus n. sp. fragilis,species,52962,,Allosaurus fragilis,species,52962,157.3,145,13460
18786,spm,,408087,0,,USNM 4734,,,femur,,1,table,,,n. gen. Allosaurus n. sp. fragilis,species,52962,,Allosaurus fragilis,species,52962,157.3,145,13778
18787,spm,,408087,0,,USNM 4734,,,tibia,,1,table,,,n. gen. Allosaurus n. sp. fragilis,species,52962,,Allosaurus fragilis,species,52962,157.3,145,13778
18795,spm,,225582,30574,,USNM 10865,,,scapula,,1,table,,width is least breadth,Diplodocus longus,species,52920,,Diplodocus longus,species,52920,150.8,145,14579
18796,spm,,225582,30574,,USNM 10865,,,coracoid,,1,table,,,Diplodocus longus,species,52920,,Diplodocus longus,species,52920,150.8,145,14579
18797,spm,,225582,30574,,USNM 10865,,,humerus,,1,table,,least circumference,Diplodocus longus,species,52920,,Diplodocus longus,species,52920,150.8,145,14579
18798,spm,,225582,30574,,USNM 10865,,,ulna,,1,table,,least circumference,Diplodocus longus,species,52920,,Diplodocus longus,species,52920,150.8,145,14579
